chunk_id,chunk_text,head,head_type,relation,relation_url,tail,tail_type,confidence,jsonld
15,。王允下令将董卓尸体暴露街头，不得掩埋。李傕、郭汜等纠集大军攻陷长安，杀死王允，逼走吕布，专擅朝政。第八集：三让徐州东汉兴平元年（公元194年），曹操在兖州文有谋臣，武有猛将，威名日重。命人前往琅琊郡接父曹嵩前往兖州，途经徐州时，太守陶谦为交好曹操，命部下张闿一路护送曹父。不料张闿图财害命，途中将曹嵩一家老小杀害，曹操怒气冲天，点起大军，要洗劫徐州，誓杀陶谦，为父报仇。曾放走曹操的中牟县令陈宫，为陶谦讲情，曹操不听，陈宫只好去找吕布，设法解救这场灾难。张飞怒鞭督邮后，刘、关、张兄弟三人逃往代州，后经刘恢、公孙瓒推荐，刘备升为平原县令。,东汉,Text,君主,,曹操,历史人物,0.7005,{}
15,。王允下令将董卓尸体暴露街头，不得掩埋。李傕、郭汜等纠集大军攻陷长安，杀死王允，逼走吕布，专擅朝政。第八集：三让徐州东汉兴平元年（公元194年），曹操在兖州文有谋臣，武有猛将，威名日重。命人前往琅琊郡接父曹嵩前往兖州，途经徐州时，太守陶谦为交好曹操，命部下张闿一路护送曹父。不料张闿图财害命，途中将曹嵩一家老小杀害，曹操怒气冲天，点起大军，要洗劫徐州，誓杀陶谦，为父报仇。曾放走曹操的中牟县令陈宫，为陶谦讲情，曹操不听，陈宫只好去找吕布，设法解救这场灾难。张飞怒鞭督邮后，刘、关、张兄弟三人逃往代州，后经刘恢、公孙瓒推荐，刘备升为平原县令。,东汉,Text,君主,,曹嵩,历史人物,0.7207,{}
15,。王允下令将董卓尸体暴露街头，不得掩埋。李傕、郭汜等纠集大军攻陷长安，杀死王允，逼走吕布，专擅朝政。第八集：三让徐州东汉兴平元年（公元194年），曹操在兖州文有谋臣，武有猛将，威名日重。命人前往琅琊郡接父曹嵩前往兖州，途经徐州时，太守陶谦为交好曹操，命部下张闿一路护送曹父。不料张闿图财害命，途中将曹嵩一家老小杀害，曹操怒气冲天，点起大军，要洗劫徐州，誓杀陶谦，为父报仇。曾放走曹操的中牟县令陈宫，为陶谦讲情，曹操不听，陈宫只好去找吕布，设法解救这场灾难。张飞怒鞭督邮后，刘、关、张兄弟三人逃往代州，后经刘恢、公孙瓒推荐，刘备升为平原县令。,东汉,Text,君主,,陶谦,历史人物,0.7531,{}
15,。王允下令将董卓尸体暴露街头，不得掩埋。李傕、郭汜等纠集大军攻陷长安，杀死王允，逼走吕布，专擅朝政。第八集：三让徐州东汉兴平元年（公元194年），曹操在兖州文有谋臣，武有猛将，威名日重。命人前往琅琊郡接父曹嵩前往兖州，途经徐州时，太守陶谦为交好曹操，命部下张闿一路护送曹父。不料张闿图财害命，途中将曹嵩一家老小杀害，曹操怒气冲天，点起大军，要洗劫徐州，誓杀陶谦，为父报仇。曾放走曹操的中牟县令陈宫，为陶谦讲情，曹操不听，陈宫只好去找吕布，设法解救这场灾难。张飞怒鞭督邮后，刘、关、张兄弟三人逃往代州，后经刘恢、公孙瓒推荐，刘备升为平原县令。,曹操,历史人物,君主,,曹嵩,历史人物,0.7755,{}
15,。王允下令将董卓尸体暴露街头，不得掩埋。李傕、郭汜等纠集大军攻陷长安，杀死王允，逼走吕布，专擅朝政。第八集：三让徐州东汉兴平元年（公元194年），曹操在兖州文有谋臣，武有猛将，威名日重。命人前往琅琊郡接父曹嵩前往兖州，途经徐州时，太守陶谦为交好曹操，命部下张闿一路护送曹父。不料张闿图财害命，途中将曹嵩一家老小杀害，曹操怒气冲天，点起大军，要洗劫徐州，誓杀陶谦，为父报仇。曾放走曹操的中牟县令陈宫，为陶谦讲情，曹操不听，陈宫只好去找吕布，设法解救这场灾难。张飞怒鞭督邮后，刘、关、张兄弟三人逃往代州，后经刘恢、公孙瓒推荐，刘备升为平原县令。,曹操,历史人物,君主,,陶谦,历史人物,0.8554,{}
15,。王允下令将董卓尸体暴露街头，不得掩埋。李傕、郭汜等纠集大军攻陷长安，杀死王允，逼走吕布，专擅朝政。第八集：三让徐州东汉兴平元年（公元194年），曹操在兖州文有谋臣，武有猛将，威名日重。命人前往琅琊郡接父曹嵩前往兖州，途经徐州时，太守陶谦为交好曹操，命部下张闿一路护送曹父。不料张闿图财害命，途中将曹嵩一家老小杀害，曹操怒气冲天，点起大军，要洗劫徐州，誓杀陶谦，为父报仇。曾放走曹操的中牟县令陈宫，为陶谦讲情，曹操不听，陈宫只好去找吕布，设法解救这场灾难。张飞怒鞭督邮后，刘、关、张兄弟三人逃往代州，后经刘恢、公孙瓒推荐，刘备升为平原县令。,曹嵩,历史人物,君主,,陶谦,历史人物,0.8440,{}
16,法解救这场灾难。张飞怒鞭督邮后，刘、关、张兄弟三人逃往代州，后经刘恢、公孙瓒推荐，刘备升为平原县令。得知陶谦遇难，借兵三千，又借得赵云，便随北海太守孔融领兵来救。陶谦为保徐州，见刘备乃汉室宗亲，才德兼备，欲将徐州让与刘备。刘备推辞不受。刘备写信给曹操，劝他退兵，适逢吕布袭夺兖州，曹操顺势退兵。陶谦请前来救援的孔融、田楷以及关羽、张飞、赵云等赴宴，再次请刘备管领徐州，刘备执意不肯，陶谦只得请刘备屯兵小沛。不久，陶谦病重，请刘备至榻前，恳请以国家为重，受取徐州牌印，并推荐孙乾、糜竺辅助。徐州百姓也向刘备哭求，关羽、张飞又再三相劝，陶谦死后，刘备答应权领徐州。,刘备,历史人物,君主,,陶谦,历史人物,0.9584,{}
17,牌印，并推荐孙乾、糜竺辅助。徐州百姓也向刘备哭求，关羽、张飞又再三相劝，陶谦死后，刘备答应权领徐州。曹操在濮阳，险被吕布所擒，幸被典韦所救，曹操假作烧伤致死，令满营挂孝，诱吕布前来劫营，吕布中计大败，只好去徐州投刘备，暂居小沛。李傕、郭汜作乱，宫室烧尽，街市荒芜，百姓剥食树皮草根，百官出城采樵。天子被迫迁都洛阳。曹操破吕布之后，听荀彧建议，平定了李傕、郭汜之乱，掌握朝政大权，被封为司隶校尉，录尚书事。为了进一步控制朝廷，曹操又迁都许昌，自封大将军，武平侯，取得挟天子令诸侯的地位。为了消灭吕布、刘备，荀彧给他献了“二虎争食”之计。,陶,人物,对手,,备,历史人物,0.7593,{}
20,虎、王朗等，占据江东六郡八十一州，威震江东。他一面写表申奏朝廷，结交曹操，一面使人致书袁术取回玉玺。第十集：辕门射戟吕布在兖州被曹操打败，往徐州投奔刘备，屯驻小沛。谋士荀彧为曹操献“二虎竞食”之计，曹操写信请刘备诛杀吕布。事成再图刘备，事不成，吕布必杀刘备。刘备知此为离间之计，未行。荀彧又献“驱虎吞狼”之计，一面先向袁术通风报信，一面假天子诏书，令刘备去讨袁术。刘备接诏后，和关羽出征，留张飞守徐州。张飞在戒酒宴上，劝吕布岳父曹豹饮酒，曹豹不饮，被张飞鞭打。曹豹连夜差人送信与吕布，约布袭取徐州。张飞因醉后不能力战，只得抛下刘备家眷，出东门而去。徐州为吕布所有，刘备无奈，只好向吕布求和，暂屯小沛。,刘,人物,对手,,备,历史人物,0.6183,{}
23,吕布刚将女儿送走，陈登之父陈珪为救刘备，前来劝阻。吕布急派张辽将女抢回，回复袁术嫁妆未备，婚期拖延。忽然宋宪、魏续来报，张飞抢走了他们买的马匹，吕布大怒，率兵进攻小沛，与张飞大战。刘备求和，吕布不许，刘备只好乘夜突围，去投曹操。正当曹操联合刘备准备共图徐州吕布之时，张济欲夺献帝，自关中引兵攻南阳，不料在途中中流矢而死。其侄张绣又统领其众，用贾诩为谋士，结连刘表、屯兵宛城，仍想夺驾。曹操闻报大怒，急欲兴兵讨伐，却又怕吕布乘机偷袭许都。荀彧献计安抚吕布，曹操于是亲率十五万大军浩浩荡荡杀奔宛城。张绣见曹兵势大，只好依贾诩之言，献城降曹。,陈,人物,对手,,刘,人物,0.5854,{}
29,州城内，陈登父子见曹操大兵已到，巧使计策，使曹操轻而易举地连夺萧关、徐州、小沛。吕布大败，兵退下邳。第十三集：白门楼（下）下邳城中，陈宫助吕布阻住曹操，并献计破曹，但终因吕布儿女情长，听信妇人之见，坐失良机。吕布无奈，又想与袁术结亲以求其助。袁术应允先送女儿，然后发兵。吕布背缚其女几次突围，均被关、张杀回。吕布斗志顿消，整日与严氏饮酒作乐。一日，吕布在镜中发现自己被酒色所伤，面容憔悴，大惊失色，下令全军戒酒，违者斩。部将侯成因十五匹好马失而复得，深感吕布之情，送新酿好酒与吕布，不想反被痛打五十背花，侯成一气之下盗得吕布赤兔马献与曹操，并与其友宋宪、魏续商定以白旗为号策应曹军攻城。,陈登,人物,对手,,袁术,人物,0.8481,{}
29,州城内，陈登父子见曹操大兵已到，巧使计策，使曹操轻而易举地连夺萧关、徐州、小沛。吕布大败，兵退下邳。第十三集：白门楼（下）下邳城中，陈宫助吕布阻住曹操，并献计破曹，但终因吕布儿女情长，听信妇人之见，坐失良机。吕布无奈，又想与袁术结亲以求其助。袁术应允先送女儿，然后发兵。吕布背缚其女几次突围，均被关、张杀回。吕布斗志顿消，整日与严氏饮酒作乐。一日，吕布在镜中发现自己被酒色所伤，面容憔悴，大惊失色，下令全军戒酒，违者斩。部将侯成因十五匹好马失而复得，深感吕布之情，送新酿好酒与吕布，不想反被痛打五十背花，侯成一气之下盗得吕布赤兔马献与曹操，并与其友宋宪、魏续商定以白旗为号策应曹军攻城。,陈登,人物,对手,,吕布,人物,0.8128,{}
29,州城内，陈登父子见曹操大兵已到，巧使计策，使曹操轻而易举地连夺萧关、徐州、小沛。吕布大败，兵退下邳。第十三集：白门楼（下）下邳城中，陈宫助吕布阻住曹操，并献计破曹，但终因吕布儿女情长，听信妇人之见，坐失良机。吕布无奈，又想与袁术结亲以求其助。袁术应允先送女儿，然后发兵。吕布背缚其女几次突围，均被关、张杀回。吕布斗志顿消，整日与严氏饮酒作乐。一日，吕布在镜中发现自己被酒色所伤，面容憔悴，大惊失色，下令全军戒酒，违者斩。部将侯成因十五匹好马失而复得，深感吕布之情，送新酿好酒与吕布，不想反被痛打五十背花，侯成一气之下盗得吕布赤兔马献与曹操，并与其友宋宪、魏续商定以白旗为号策应曹军攻城。,袁术,人物,对手,,吕布,人物,0.8979,{}
32,扬威，激怒了关羽，欲杀曹操，被刘备拦住。汉献帝见曹操威势愈大，忧伤焦虑，只好和伏皇后在寝宫掩面而泣。皇后之父伏完举荐车骑将军、国舅董承可除国害，汉献帝遂以血写成讨曹诏书，藏于锦袍玉带之中，亲召董承赐之。董承接了诏，不料在出宫回府途中却遇曹操，经百般盘查才脱身，险些坏了大事。在董承府，董承与王子服等同观血诏，义愤填膺，纷纷在义状上签名画押。西凉太守马腾又举荐豫州牧刘备可共商诛贼大事。国舅董承亲到刘备府，刘备心情复杂，一时踌躇，终于横下一条心，在义状上书“左将军刘备”五个字。此后，刘备更是整日埋头种菜，惟恐董承办事轻率，事情败露。一日，刘备仍在菜园里锄草，突然，许褚引军士前来，说曹操请刘备速去。,伏完,人物,君主,,董,人物,0.9642,{}
38,商议，无计可施。建安五年，元旦朝贺，见曹操骄横愈甚，感愤成疾。帝知国舅染病，令随朝太医吉平前往治病。吉平听得病榻上的董承梦呓诛曹之事，又知实情，出于义愤，自告奋勇以给曹操治病为由毒死此贼。不想，家奴秦庆童由于与侍妾云英私通被董承职责，怀恨在心，夤夜入丞相府将董承与王子服等密谋诛曹之事相告。曹操大怒，先将下毒未遂的吉平拿住；又以饮宴为名在王子服等五人面前打死吉平，并将王子服监禁，又去董承府搜出衣带诏，处斩董承、王子服等五人并全家老小七百余口。盛怒的曹操率兵直奔后宫，在献帝与伏皇后面前勒死董妃，并令曹洪领兵三千，充御林军防守皇宫，今后但有外戚宗族，不奉曹操之令，擅入宫门者，斩！,秦庆童,人物,君主,,云英,人物,0.8829,{}
40,到绝处，大将张辽前往土山说降。为长远计，关羽与张辽约三事而后降曹，曹操素爱关羽的武艺、人才，遂允之。关羽征得甘、糜二夫人同意之后，携二位嫂嫂进入曹营。第十七集：挂印封金刘备连失小沛、徐州、下邳，已无容身之地，无奈暂投袁绍。张飞于乱军之中冲出重围，向芒砀山而去。关羽在土山与曹操约三事后，一边思念刘备，一边亲自护送甘、糜二夫人，随曹操踏上回许都之路。途中，曹操故意将关羽与二位嫂嫂置于一室，使其乱君臣之礼。关羽大怒，秉烛立于户外，自夜达旦，毫无倦意，曹操观之肃然。又取异锦所作战袍一领赠与关羽。,关,人物,君主,,刘备,人物,0.6433,{}
40,到绝处，大将张辽前往土山说降。为长远计，关羽与张辽约三事而后降曹，曹操素爱关羽的武艺、人才，遂允之。关羽征得甘、糜二夫人同意之后，携二位嫂嫂进入曹营。第十七集：挂印封金刘备连失小沛、徐州、下邳，已无容身之地，无奈暂投袁绍。张飞于乱军之中冲出重围，向芒砀山而去。关羽在土山与曹操约三事后，一边思念刘备，一边亲自护送甘、糜二夫人，随曹操踏上回许都之路。途中，曹操故意将关羽与二位嫂嫂置于一室，使其乱君臣之礼。关羽大怒，秉烛立于户外，自夜达旦，毫无倦意，曹操观之肃然。又取异锦所作战袍一领赠与关羽。,关,人物,君主,,关羽,人物,0.5845,{}
40,到绝处，大将张辽前往土山说降。为长远计，关羽与张辽约三事而后降曹，曹操素爱关羽的武艺、人才，遂允之。关羽征得甘、糜二夫人同意之后，携二位嫂嫂进入曹营。第十七集：挂印封金刘备连失小沛、徐州、下邳，已无容身之地，无奈暂投袁绍。张飞于乱军之中冲出重围，向芒砀山而去。关羽在土山与曹操约三事后，一边思念刘备，一边亲自护送甘、糜二夫人，随曹操踏上回许都之路。途中，曹操故意将关羽与二位嫂嫂置于一室，使其乱君臣之礼。关羽大怒，秉烛立于户外，自夜达旦，毫无倦意，曹操观之肃然。又取异锦所作战袍一领赠与关羽。,刘备,人物,君主,,关羽,人物,0.6506,{}
44,人劫掠上山，欲图无礼，被其诛杀，特护送夫人下山向关将军请罪。关羽施礼拜谢。廖化久闻关羽大名，欲随之。关羽因千里寻故主，漂泊无定，愿同二位夫人及车仗独行。廖化只得告别。在一村庄安歇时，庄主胡华知是关羽千里寻兄，甚为感动，盛情招待，并书一函，让关羽行至荥阳时交与其子胡班。东岭关前，守关将孔秀向关羽索取丞相关文。关羽告之行时匆忙，不曾讨得，孔秀列兵关前，不容过关。关羽大怒，跃马只一回合，斩孔秀于马下。兵士个个目瞪口呆，关羽让其传语曹丞相，言孔秀意欲加害，故而杀之。洛阳太守韩福得知此讯大惊，孟坦献计佯败，引诱关羽，欲于高处暗箭射之，哪知赤兔马腾身一跃，冲在孟坦马前，关羽砍孟坦于马下。,胡班,人物,对手,,关羽,人物,0.8117,{}
45,大惊，孟坦献计佯败，引诱关羽，欲于高处暗箭射之，哪知赤兔马腾身一跃，冲在孟坦马前，关羽砍孟坦于马下。韩福乘乱向关羽射出一箭，正中左臂。关羽咬牙将箭拔出，怒喝一声，纵马直入敌阵，兵将大乱，四散逃窜。韩福正欲逃走，关羽赶上一刀，砍韩福于马下。汜水关卞喜苦思冥想，欲在镇国寺盛情款待关羽之时，暗伏刀斧手杀之。关羽全无防备，在此危险之际，幸得同乡道长普净暗示，关羽方悟，挥剑勇战群顽，一刀劈了卞喜。荥阳太守王植对关羽谦恭备至，盛情招待之后，许诺明晨亲送关羽出关上路；却又密令从事胡班点一千军马围住馆驿，三更时分一齐放火，要烧死关羽一干人等。,关,人物,对手,,关,人物,0.9727,{}
46,许诺明晨亲送关羽出关上路；却又密令从事胡班点一千军马围住馆驿，三更时分一齐放火，要烧死关羽一干人等。胡班将一切布置好之后，正欲点火，却突生一念，想看看大名鼎鼎的关云长是何模样。他悄悄推开馆门入内，只见关羽气宇轩昂，左手绰髯，右手捧书就读于灯下，真如神人一般。胡班深受触动，不觉出声惊动关羽，索性进屋。关羽问知他是胡班，便将其父胡华的书信给他。胡班观信后大惊失色，深悔自己险些误害忠良，扑通一声跪倒于地，详告王植加害之心，并仗义打开城门放走关羽。王植闻知，率兵来追，又被关羽扬手一刀砍落马下。滑州界太守刘延深信关羽所言，未加刁难，但惧于夏侯惇之威，又恐丞相怪罪，也不敢给关羽渡船以渡黄河。,胡班,人物,对手,,胡华,人物,0.6749,{}
48,当关羽、孙乾一干人等上马欲行之时，只见远处烟尘滚滚，战马嘶鸣，一彪人马踏踏而来，高呼道：“关羽休走！”关羽见又有兵杀来，忙让孙乾护送夫人及车仗先走，只身横刀立马迎战来者夏侯惇。二人正欲厮杀，恰巧曹操派两使者至，说丞相敬爱关将军忠义，特发放行文书传遍各处。夏侯惇怒关羽斩其部将秦琪，仍以丞相不知关羽过关斩将之事为由，挺枪与关羽厮杀。二人正杀得昏天黑地之时，张辽奉丞相之命赶到，方劝住了夏侯惇。关羽谢过张辽，重新上路。在郭常庄，由于不务正业的郭常之子偷盗赤兔马，引出落草为寇的周仓、裴元绍。周仓久慕关羽大名，意欲随之久矣，今日相见，苦苦相求，关羽见其情切，允其跟在身边。,关羽,人物,对手,,夏侯惇,人物,0.4021,{}
50,经二位嫂嫂备言前情，又见关羽亲斩蔡阳，才尽释前嫌，扑向关羽。兄弟二人四目相视，万语千言尽在热泪之中。张飞喜迎关羽及二位嫂嫂等进古城，互叙别来之情，准备次日由关羽、孙乾去汝南寻大哥刘备。谁知糜竺告知众人：刘备因见刘辟兵马甚少不能成事，又回河北袁绍处了。三人商议，张飞守城，周仓往裴元绍处招呼人马，由关羽、孙乾同往河北。关羽不便先见刘备，在关定庄安顿，收得了义子关平；刘备从简雍之议，假说“前往荆州劝说刘表共同破曹”，方自袁绍处脱身，兄弟始得相见。一行于归途中又偶遇赵云，于是几人一同返回古城。古城外平川，张飞列阵迎接，亲擂大鼓，泪水、汗水汇作一处，珠花四溅，振奋之极。,刘,人物,兄弟,,关平,人物,0.2962,{}
51,，于是几人一同返回古城。古城外平川，张飞列阵迎接，亲擂大鼓，泪水、汗水汇作一处，珠花四溅，振奋之极。刘备、关羽、孙乾、简雍、赵云、关平、周仓等骑马一字排开。糜竺、糜芳率一队骑兵仪仗队冲出城门，高举一面帅旗，上大书一个“刘”字。刘、关、张三人奔到一起，面色庄重，眼含泪花，六臂环抱，对面而跪，恰似当年桃园情景。第二十集：孙策之死汉献帝建安四年（公元199年），继承孙坚遗志，统领江东的孙策，兵精粮足。一举攻取庐江之后，又迫使豫章太守华歆投降，自此声势大振，遂派张纮往许昌上表报捷，但因求封大司马之事被曹操拒绝，耿耿于怀，常有攻打许都的打算。,备,历史人物,对手,,孙策,历史人物,0.7093,{}
52,，自此声势大振，遂派张纮往许昌上表报捷，但因求封大司马之事被曹操拒绝，耿耿于怀，常有攻打许都的打算。吴郡太守许贡知孙策此意，即写密信给曹操，要他提防孙策，不想信落在孙策手中。孙策设计将许贡诱来绞死，此举激怒了许贡三名家客，乘孙策在狩猎之时，用箭将其射成重伤，幸得程普等及时来到，孙策才得以生还。孙策之母吴太夫人见儿子伤势严重，甚为焦急，便求仙拜佛，喃喃祈祷。此时有一道人于吉，号称神仙出现，全城百姓无不对其顶礼膜拜。孙策觉得自己的权威受到侵犯，一气之下，怒斩于吉。自己也因怒气冲犯，毒浸心肺，危在旦夕，于是急召其弟孙权及众文武前来嘱托后事。孙策对吴太夫人说：“倘内事不决可问张昭，外事不决可问周瑜。,孙权,人物,对手,,孙策,人物,0.9191,{}
52,，自此声势大振，遂派张纮往许昌上表报捷，但因求封大司马之事被曹操拒绝，耿耿于怀，常有攻打许都的打算。吴郡太守许贡知孙策此意，即写密信给曹操，要他提防孙策，不想信落在孙策手中。孙策设计将许贡诱来绞死，此举激怒了许贡三名家客，乘孙策在狩猎之时，用箭将其射成重伤，幸得程普等及时来到，孙策才得以生还。孙策之母吴太夫人见儿子伤势严重，甚为焦急，便求仙拜佛，喃喃祈祷。此时有一道人于吉，号称神仙出现，全城百姓无不对其顶礼膜拜。孙策觉得自己的权威受到侵犯，一气之下，怒斩于吉。自己也因怒气冲犯，毒浸心肺，危在旦夕，于是急召其弟孙权及众文武前来嘱托后事。孙策对吴太夫人说：“倘内事不决可问张昭，外事不决可问周瑜。,孙权,人物,对手,,吴太夫人,人物,0.8730,{}
